A,Agilent Technologies Inc,2022-05-23,2022-04-30,1.12,USD
AA,Alcoa Corp,2022-04-20,2022-03-31,2.9,USD
AA,Alcoa Corp,2022-07-13,2022-06-30,,USD
AACG,ATA Creativity Global,2022-05-11,2022-03-31,-0.25,CNY
AADI,Aadi Bioscience Inc,2022-05-16,2022-03-31,-0.71,USD
AAIC,Arlington Asset Investment Corp - Class A,2022-05-04,2022-03-31,0.05,USD
AAL,American Airlines Group Inc,2022-04-21,2022-03-31,-2.4,USD
AAMC,Altisource Asset Management Corp,2022-05-16,2022-03-31,,USD
AAME,Atlantic American Corp,2022-05-09,2022-03-31,,USD
AAMMF,AAMMF,2022-04-18,2022-03-31,,USD
AAN,Aarons Company Inc (The),2022-04-26,2022-03-31,0.69,USD
AAOI,Applied Optoelectronics Inc,2022-05-04,2022-03-31,-0.31,USD
AAON,AAON Inc,2022-05-04,2022-03-31,0.27,USD
AAP,Advance Auto Parts Inc,2022-05-31,2022-03-31,3.58,USD
AAPL,Apple Inc,2022-04-28,2022-03-31,1.43,USD
AAT,American Assets Trust Inc,2022-04-26,2022-03-31,0.18,USD
AAVVF,AAVVF,2022-04-28,2022-03-31,0.22,CAD
AAWW,Atlas Air Worldwide Holdings Inc,2022-05-03,2022-03-31,2.57,USD
AB,AllianceBernstein Holding Lp,2022-04-29,2022-03-31,0.84,USD
ABBV,Abbvie Inc,2022-04-29,2022-03-31,3.14,USD
ABC,Amerisource Bergen Corp,2022-05-04,2022-03-31,2.93,USD
ABCAF,ABCAF,2022-04-28,2022-03-31,,USD
ABCB,Ameris Bancorp,2022-04-26,2022-03-31,1.08,USD
ABCL,AbCellera Biologics Inc,2022-05-10,2022-03-31,0.3,USD
ABCP,ABCP,2022-05-09,2022-03-31,,USD
ABEO,Abeona Therapeutics Inc,2022-05-16,2022-03-31,-0.09,USD
ABG,Asbury Automotive Group Inc,2022-04-28,2022-03-31,8.97,USD
ABIO,ARCA biopharma Inc,2022-05-09,2022-03-31,,USD
ABM,ABM Industries Inc,2022-06-06,2022-04-30,0.84,USD
ABMD,Abiomed Inc,2022-04-28,2022-03-31,1.08,USD
ABNB,Airbnb Inc - Class A,2022-05-11,2022-03-31,-0.28,USD
ABR,Arbor Realty Trust Inc,2022-05-05,2022-03-31,0.44,USD
ABSSF,ABSSF,2022-05-11,2022-03-31,,USD
ABST,Absolute Software Corporation,2022-05-10,2022-03-31,-0.12,USD
ABT,Abbott Laboratories,2022-04-20,2022-03-31,1.47,USD
ABTX,Allegiance Bancshares Inc,2022-04-29,2022-03-31,0.82,USD
ABUS,Arbutus Biopharma Corp,2022-05-03,2022-03-31,-0.16,USD
ACA,Arcosa Inc,2022-04-27,2022-03-31,0.22,USD
ACAD,Acadia Pharmaceuticals Inc,2022-05-03,2022-03-31,-0.46,USD
ACAZF,ACAZF,2022-05-03,2022-03-31,,USD
ACB,Aurora Cannabis Inc,2022-05-11,2022-03-31,-0.18,CAD
ACBI,Atlantic Capital Bancshares Inc,2022-04-20,2022-03-31,0.48,USD
ACC,American Campus Communities Inc,2022-04-25,2022-03-31,0.24,USD
ACCD,Accolade Inc,2022-04-28,2022-02-28,-0.36,USD
ACCD,Accolade Inc,2022-07-06,2022-05-31,,USD
ACCFF,ACCFF,2022-05-03,2022-03-31,,CAD
ACCO,Acco Brands Corporation,2022-04-26,2022-03-31,0.09,USD
ACDVF,ACDVF,2022-04-26,2022-03-31,,USD
ACEL,Accel Entertainment Inc - Class A1,2022-05-09,2022-03-31,0.21,USD
ACER,Acer Therapeutics Inc,2022-05-16,2022-03-31,-0.41,USD
ACET,Adicet Bio Inc,2022-05-16,2022-03-31,-0.18,USD
ACFN,ACFN,2022-05-10,2022-03-31,,USD
ACGL,Arch Capital Group Ltd,2022-04-27,2022-03-31,0.96,USD
ACHC,Acadia Healthcare Company Inc,2022-04-27,2022-03-31,0.64,USD
ACHV,Achieve Life Sciences Inc,2022-05-11,2022-03-31,-0.81,USD
ACIU,AC Immune SA,2022-04-26,2022-03-31,-0.24,CHF
ACIW,ACI Worldwide Inc,2022-05-04,2022-03-31,0.14,USD
ACLLF,ACLLF,2022-04-27,2022-03-31,,USD
ACLS,Axcelis Technologies Inc,2022-05-04,2022-03-31,0.92,USD
ACM,AECOM,2022-05-09,2022-03-31,0.79,USD
ACMR,ACM Research Inc - Class A,2022-05-04,2022-03-31,0.01,USD
ACMTA,ACMTA,2022-05-10,2022-03-31,,USD
ACN,Accenture plc - Class A,2022-06-23,2022-05-31,2.65,USD
ACNB,ACNB Corp,2022-04-27,2022-03-31,,USD
ACOR,Acorda Therapeutics Inc,2022-05-04,2022-03-31,,USD
ACR,ACRES Commercial Realty Corp,2022-05-03,2022-03-31,0.31,USD
ACRE,Ares Commercial Real Estate Corp,2022-05-03,2022-03-31,0.36,USD
ACRHF,ACRHF,2022-05-09,2022-03-31,,USD
ACRS,Aclaris Therapeutics Inc,2022-05-05,2022-03-31,-0.4,USD
ACRX,Acelrx Pharmaceuticals Inc,2022-05-16,2022-03-31,-0.06,USD
ACST,Acasti Pharma Inc - Class A,2022-06-20,2022-03-31,-0.1,USD
ACT,Enact Holdings Inc,2022-05-04,2022-03-31,0.82,USD
ACTG,Acacia Research Corp,2022-05-16,2022-03-31,-0.01,USD
ACU,Acme United Corp,2022-04-18,2022-03-31,0.65,USD
ACVA,ACV Auctions Inc - Class A,2022-05-11,2022-03-31,-0.18,USD
ACWRF,ACWRF,2022-05-25,2022-03-31,,USD
ACY,ACY,2022-05-19,2022-03-31,,USD
ADAP,Adaptimmune Therapeutics Plc,2022-05-03,2022-03-31,-0.22,USD
ADBE,Adobe Inc,2022-06-16,2022-05-31,3.31,USD
ADBRF,ADBRF,2022-05-30,2022-03-31,,USD
ADC,Agree Realty Corp,2022-05-03,2022-03-31,0.45,USD
ADCOF,ADCOF,2022-05-16,2022-03-31,,USD
ADCT,Adc Therapeutics SA,2022-05-04,2022-03-31,-0.75,USD
ADES,Advanced Emissions Solutions Inc,2022-05-09,2022-03-31,,USD
ADFJF,ADFJF,2022-06-07,2022-04-30,,CAD
ADI,Analog Devices Inc,2022-05-17,2022-04-30,2.1,USD
ADM,Archer Daniels Midland Company,2022-04-26,2022-03-31,1.38,USD
ADMA,Adma Biologics Inc,2022-05-10,2022-03-31,-0.08,USD
ADMP,Adamis Pharmaceuticals Corp,2022-05-16,2022-03-31,-0.03,USD
ADMS,ADMS,2022-05-09,2022-03-31,,USD
ADN,Advent Technologies Holdings Inc - Class A,2022-05-16,2022-03-31,,USD
ADNT,Adient plc,2022-05-05,2022-03-31,0.06,USD
ADP,Automatic Data Processing Inc,2022-04-27,2022-03-31,2.08,USD
ADPT,Adaptive Biotechnologies Corp,2022-05-04,2022-03-31,-0.45,USD
ADS,ADS,2022-04-27,2022-03-31,4.56,USD
ADSK,Autodesk Inc,2022-05-25,2022-04-30,1.35,USD
ADT,ADT Inc,2022-05-03,2022-03-31,0.12,USD
ADTN,Adtran Inc,2022-05-04,2022-03-31,0.05,USD
ADV,Advantage Solutions Inc - Class A,2022-05-09,2022-03-31,0.11,USD
ADVM,Adverum Biotechnologies Inc,2022-05-04,2022-03-31,-0.31,USD
ADWPF,ADWPF,2022-06-14,2022-03-31,,USD
ADXS,Advaxis Inc,2022-06-13,2022-04-30,,USD
AEE,Ameren Corp,2022-05-05,2022-03-31,0.94,USD
AEGN,AEGN,2022-05-09,2022-03-31,,USD
AEGXF,AEGXF,2022-04-27,2022-03-31,,USD
AEHR,Aehr Test Systems,2022-07-13,2022-05-31,0.23,USD
AEIS,Advanced Energy Industries Inc,2022-05-03,2022-03-31,0.95,USD
AEL,American Equity Investment Life Holding Company,2022-05-03,2022-03-31,0.93,USD
AEM,Agnico Eagle Mines Ltd,2022-04-28,2022-03-31,0.66,USD
AEMD,Aethlon Medical Inc,2022-06-22,2022-03-31,-0.17,USD
AEP,American Electric Power Company Inc,2022-04-28,2022-03-31,1.22,USD
AER,Aercap Holdings N.V.,2022-04-26,2022-03-31,1.45,USD
AERI,Aerie Pharmaceuticals Inc,2022-05-03,2022-03-31,-0.66,USD
AES,AES Corp,2022-05-06,2022-03-31,0.31,USD
AETUF,AETUF,2022-05-05,2022-03-31,,USD
AEVA,Aeva Technologies Inc,2022-05-11,2022-03-31,-0.15,USD
AEY,Addvantage Technologies Group,2022-05-11,2022-03-31,,USD
AEYE,AudioEye Inc,2022-05-11,2022-03-31,-0.42,USD
AEZS,Aeterna Zentaris Inc,2022-05-03,2022-03-31,-0.02,USD
AFCG,AFC Gamma Inc,2022-05-09,2022-03-31,0.57,USD
AFG,American Financial Group Inc,2022-05-04,2022-03-31,2.72,USD
AFI,Armstrong Flooring Inc,2022-04-20,2022-03-31,,USD
AFIB,Acutus Medical Inc,2022-05-10,2022-03-31,-0.93,USD
AFIB,Acutus Medical Inc,2022-07-11,2022-06-30,,USD
AFL,Aflac Inc,2022-04-27,2022-03-31,1.37,USD
AFMD,Affimed N.V.,2022-06-29,2022-03-31,-0.21,EUR
AFRM,Affirm Holdings Inc - Class A,2022-05-09,2022-03-31,-0.51,USD
AFYA,Afya Ltd - Class A,2022-05-25,2022-03-31,0.32,BRL
AG,First Majestic Silver Corporation,2022-05-04,2022-03-31,0.08,USD
AGCO,AGCO Corp,2022-04-27,2022-03-31,1.91,USD
AGE,AgeX Therapeutics Inc,2022-05-16,2022-03-31,,USD
AGEN,Agenus Inc,2022-05-04,2022-03-31,-0.3,USD
AGFMF,AGFMF,2022-06-28,2022-05-31,,USD
AGFS,AgroFresh Solutions Inc,2022-05-11,2022-03-31,-0.22,USD
AGFY,Agrify Corp,2022-05-16,2022-03-31,-0.33,USD
AGGZF,AGGZF,2022-05-09,2022-03-31,,USD
AGI,Alamos Gold Inc - Class A,2022-04-27,2022-03-31,0.07,USD
AGIO,Agios Pharmaceuticals Inc,2022-04-27,2022-03-31,-1.82,USD
AGL,Agilon Health Inc,2022-05-24,2022-03-31,0,USD
AGLE,Aeglea BioTherapeutics Inc,2022-05-09,2022-03-31,-0.34,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2022-05-04,2022-03-31,2.59,USD
AGMJF,AGMJF,2022-05-03,2022-03-31,,USD
AGNC,AGNC Investment Corp,2022-05-02,2022-03-31,0.64,USD
AGO,Assured Guaranty Ltd,2022-05-04,2022-03-31,0.82,USD
AGR,Avangrid Inc,2022-04-26,2022-03-31,0.85,USD
AGRO,Adecoagro S.A.,2022-05-11,2022-03-31,,USD
AGRX,Agile Therapeutics Inc,2022-05-02,2022-03-31,-0.12,USD
AGS,PlayAGS Inc,2022-05-05,2022-03-31,-0.07,USD
AGTC,Applied Genetic Technologies Corp,2022-05-16,2022-03-31,-0.43,USD
AGX,Argan Inc,2022-06-06,2022-04-30,0.52,USD
AGYS,Agilysys Inc,2022-05-16,2022-03-31,0.16,USD
AHCCF,AHCCF,2022-05-04,2022-03-31,,CAD
AHCO,AdaptHealth Corp,2022-05-04,2022-03-31,0.16,USD
AHH,Armada Hoffler Properties Inc,2022-05-03,2022-03-31,0.07,USD
AHOTF,AHOTF,2022-05-10,2022-03-31,,USD
AHT,Ashford Hospitality Trust Inc,2022-05-03,2022-03-31,-2.02,USD
AI,C3.ai Inc - Class A,2022-05-31,2022-04-30,-0.29,USD
AIG,American International Group Inc,2022-05-03,2022-03-31,1.18,USD
AIKI,AIkido Pharma Inc,2022-05-09,2022-03-31,,USD
AIM,AIM ImmunoTech Inc,2022-05-16,2022-04-30,-0.07,USD
AIMC,Altra Industrial Motion Corp,2022-04-28,2022-03-31,0.71,USD
AIMFF,AIMFF,2022-05-12,2022-03-31,,CAD
AIN,Albany International Corp - Class A,2022-04-25,2022-03-31,0.77,USD
AINC,Ashford Inc,2022-05-03,2022-03-31,0.79,USD
AINV,Apollo Investment Corporation,2022-05-18,2022-03-31,0.34,USD
AIRC,Apartment Income REIT Corp - Class A,2022-04-27,2022-03-31,0.39,USD
AIRG,Airgain Inc,2022-05-04,2022-03-31,-0.11,USD
AIRI,Air Industries Group,2022-05-09,2022-03-31,,USD
AIRT,Air T Inc,2022-06-23,2022-03-31,,USD
AIT,Applied Industrial Technologies Inc,2022-04-28,2022-03-31,1.51,USD
AIV,Apartment Investment & Management Co. - Class A,2022-05-16,2022-03-31,,USD
AIZ,Assurant Inc,2022-05-03,2022-03-31,2.84,USD
AJG,Arthur J. Gallagher & Company,2022-04-28,2022-03-31,2.7,USD
AJRD,Aerojet Rocketdyne Holdings Inc,2022-04-25,2022-03-31,0.42,USD
AJX,Great Ajax Corp,2022-05-04,2022-03-31,0.35,USD
AJXGF,AJXGF,2022-05-09,2022-03-31,,USD
AKAM,Akamai Technologies Inc,2022-05-03,2022-03-31,1.42,USD
AKBA,Akebia Therapeutics Inc,2022-05-09,2022-03-31,-0.29,USD
AKR,Acadia Realty Trust,2022-05-02,2022-03-31,0.03,USD
AKRFF,AKRFF,2022-05-25,2022-03-31,,USD
AKRO,Akero Therapeutics Inc,2022-05-11,2022-03-31,-0.8,USD
AKTAF,AKTAF,2022-05-04,2022-03-31,,USD
AKTS,Akoustis Technologies Inc,2022-05-02,2022-03-31,-0.22,USD
AKU,Akumin Inc,2022-05-16,2022-03-31,,USD
AKUS,Akouos Inc,2022-05-11,2022-03-31,-0.73,USD
AKYA,Akoya Biosciences Inc,2022-05-16,2022-03-31,-0.39,USD
AL,Air Lease Corp - Class A,2022-05-05,2022-03-31,1.04,USD
ALB,Albemarle Corp,2022-05-04,2022-03-31,1.59,USD
ALBO,Albireo Pharma Inc,2022-05-04,2022-03-31,-1.98,USD
ALCO,Alico Inc,2022-05-03,2022-03-31,0.01,USD
ALDX,Aldeyra Therapeutics Inc,2022-05-04,2022-03-31,-0.32,USD
ALE,Allete Inc,2022-05-05,2022-03-31,1.27,USD
ALEAF,ALEAF,2022-05-09,2022-03-31,,USD
ALEC,Alector Inc,2022-05-03,2022-03-31,0.47,USD
ALEX,Alexander & Baldwin Inc,2022-04-27,2022-03-31,0.1,USD
ALG,Alamo Group Inc,2022-05-03,2022-03-31,1.71,USD
ALGM,Allegro Microsystems Inc,2022-05-10,2022-03-31,0.21,USD
ALGN,Align Technology Inc,2022-04-27,2022-03-31,2.23,USD
ALGS,Aligos Therapeutics Inc,2022-05-09,2022-03-31,-0.73,USD
ALGT,Allegiant Travel,2022-05-02,2022-03-31,0.07,USD
ALHC,Alignment Healthcare Inc,2022-05-16,2022-03-31,-0.25,USD
ALIM,Alimera Sciences Inc,2022-04-26,2022-03-31,-0.69,USD
ALJJ,Alj Regional Holdings Inc,2022-05-10,2022-03-31,,USD
ALK,Alaska Air Group Inc,2022-04-21,2022-03-31,-1.5,USD
ALKS,Alkermes plc,2022-04-26,2022-03-31,0.01,USD
ALKT,Alkami Technology Inc,2022-05-09,2022-03-31,-0.06,USD
ALL,Allstate Corp (The),2022-05-04,2022-03-31,3.18,USD
ALLE,Allegion plc,2022-04-26,2022-03-31,0.97,USD
